Submission Date,Who was your coaching call with?,What did you work on in the coaching call?,Was the purpose of the call fulfilled? (Did the coach successfully help you with what you wanted?),Were all of your questions answered and clearly explained?,How was the coaches attitude on the call?,Rate your overall experience in the call,Do you have any ideas / recommendations that would help improve your experience?,Are there any improvements you'd like to see from the coaches?,utm_source,utm_campaign,utm_medium,utm_term,Submission ID,Week-Year,Avg,Streak
"2022 May 3, 5:01PM",Joshua Fimmano,Product Research,5,5,5,5,"Josh was clear and concise, great instructions on next steps",Nope,,,,,5673661003514659096,,5,
"2022 May 3, 9:14PM",Michael Bondarenko,Product Research,5,5,5,5,,,,,,,5673586692603407821,,5,
"2022 May 4, 12:38PM",Michael Bondarenko,Website Optimisation,5,4,5,5,,,,,,,5673570160011499352,,4.75,
"2022 May 5, 10:05AM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5673506117128454707,,5,
"2022 May 5, 11:45AM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5673495129229404293,,5,
"2022 May 5, 3:01PM",Michael Bondarenko,Product Research,5,5,5,5,,,,,,,5672938125381426276,,5,
"2022 May 5, 6:09PM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5672914700223206818,,5,
"2022 May 6, 12:31PM",Joshua Fimmano,Website Optimisation,5,5,5,5,He is the best even 5 starS are not enough,N/A,,,,,5672885218113766850,,5,
"2022 May 7, 11:32AM",Joshua Fimmano,Product Research,5,5,5,5,,All I can say is that he is very helpful :),,,,,5672883338724586638,,5,
"2022 May 7, 12:54PM",Joshua Fimmano,Ad Account Review,5,5,5,5,,,,,,,5672784812524202540,,5,
"2022 May 7, 3:44PM",Joshua Fimmano,Product Research,5,5,5,5,,"Maybe run though exactly why they chose which products/Niches over others. Other then that it was absolutely amazing, i loved working with Josh looking forward to our next call.",,,,,5672762531513648711,,5,
"2022 May 7, 6:14PM",Joshua Fimmano,Ad Account Review,5,5,5,5,,,,,,,5672729099162142304,,5,
"2022 May 8, 1:04PM",Michael Bondarenko,Ad Account Review,5,5,5,5,Aaaaa,Aaaa,,,,,5672724755013661997,,5,
"2022 May 9, 1:00AM",Joshua Fimmano,Product Research,5,5,5,5,Everyone is patient and understanding it's very helpful.,No I like my coaching calls ?,,,,,5672718680617978360,,5,
"2022 May 10, 10:01AM",Joshua Fimmano,Website Optimisation,5,5,5,5,,,,,,,5672716464211782872,,5,
"2022 May 10, 10:34AM",Joshua Fimmano,"Website Optimisation
Ad Angle Review
Ad Account Review",5,5,5,5,Josh #1 coach give him a pay raise,,,,,,5672661997719874142,,5,
"2022 May 10, 12:27PM",Joshua Fimmano,Website Optimisation,5,5,5,5,Josh is always helpful and takes the time to run through things without being rushed.,,,,,,5672196976117404685,,5,
"2022 May 10, 1:19PM",Joshua Fimmano,Website Optimisation,5,5,5,5,,,,,,,5672164151227897404,,5,
"2022 May 10, 6:05PM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5672144379518343394,,5,
"2022 May 11, 2:31PM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5672110592197998003,,5,
"2022 May 12, 2:05PM",Joshua Fimmano,Product Research,5,5,5,5,No,No,,,,,5672086093412025558,,5,
"2022 May 12, 9:16PM",Michael Bondarenko,Product Research,4,4,4,4,N/A,It was a great and quick coach call that covered all my questions in a short amount of time.,,,,,5672056359714254629,,4,
"2022 May 12, 11:20PM",Joshua Fimmano,Website Optimisation,5,5,5,5,,,,,,,5671834747229060473,,5,
"2022 May 14, 12:04PM",Joshua Fimmano,"Website Optimisation
Ad Angle Review",3,3,4,3,I was sensing that Joshua was quick to end the call so felt slightly rushed.,,,,,,5671787525212697056,,3.25,
"2022 May 14, 4:26PM",Joshua Fimmano,Product Research,5,5,5,5,Nil,Nil,,,,,5671782919912086043,,5,
"2022 May 15, 1:02PM",Joshua Fimmano,Website Optimisation,5,5,5,5,My internet connection,Nothing,,,,,5671268319712514343,,5,
"2022 May 15, 1:43PM",Joshua Fimmano,Website Optimisation,5,5,5,5,,,,,,,5671090949858050920,,5,
"2022 May 15, 2:31PM",Joshua Fimmano,Product Research,5,5,5,5,This call was pretty basic and straight forward so no real suggestions,Not at this stage,,,,,5670481552916148671,,5,
"2022 May 15, 5:24PM",Joshua Fimmano,Ad Angle Review,5,5,5,5,,,,,,,5670334053414687449,,5,
"2022 May 16, 3:08PM",Michael Bondarenko,Product Research,5,5,5,5,"No, you guys put some much effort into this course and have helped me every step of the way.","I could not find an area of our call that needed improvement, Michael was super helpful and guided me through every step with a positive attitude. Nothing seemed to hard for him at all.",,,,,5670226463422120169,,5,
"2022 May 16, 8:18PM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5670191346422656713,,5,
"2022 May 17, 4:22PM",Joshua Fimmano,Website Optimisation,5,5,5,5,,,,,,,5669472878019178148,,5,
"2022 May 17, 9:11PM",Joshua Fimmano,Website Optimisation,5,5,5,5,,,,,,,5669452350717984729,,5,
"2022 May 18, 10:16AM",Michael Bondarenko,Ad Account Review,5,5,5,5,,,,,,,5669289548228787911,,5,
"2022 May 18, 4:05PM",Joshua Fimmano,Product Research,5,5,5,5,Josh is a beast. Nothing to change ??,Josh is a beast. Nothing to change ??,,,,,5669254688812566824,,5,
"2022 May 19, 9:47AM",Michael Bondarenko,Website Optimisation,5,3,4,3,I just have to follow what coaches tell me!,Not josh I think he's doing great but Michael needs to understand student needs,,,,,5669221087212323958,,3.75,
"2022 May 19, 1:01PM",Joshua Fimmano,Website Optimisation,5,5,5,5,Joshua deserve more then 5 star he is legend,N/A,,,,,5668646715413362538,,5,
"2022 May 20, 9:50AM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5668592552126125101,,5,
"2022 May 20, 3:04PM",Joshua Fimmano,Product Research,5,5,5,5,N/a,"Nothing, Josh was great.",,,,,5668539893319353239,,5,
"2022 May 24, 1:33PM",Joshua Fimmano,Website Optimisation,5,5,5,5,,,,,,,5668446001108324708,,5,
"2022 May 24, 2:24PM",Joshua Fimmano,Website Optimisation,5,5,5,5,,,,,,,5668373277412383892,,5,
"2022 May 24, 3:01PM",Joshua Fimmano,Website Optimisation,5,5,5,5,,,,,,,5668302980216342636,,5,
"2022 May 25, 12:40PM",Michael Bondarenko,Product Research,5,5,5,5,,,,,,,5667556263811084956,,5,
"2022 May 25, 2:11PM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5667534893348086886,,5,
"2022 May 25, 3:01PM",Michael Bondarenko,Product Research,5,5,5,5,"No need, was quiet happy with it.",No need.,,,,,5667499911214159985,,5,
"2022 May 25, 3:34PM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5667492124507711680,,5,
"2022 May 26, 4:02PM",Joshua Fimmano,Website Optimisation,5,5,5,5,,"No, Josh and Selena are very polite, helpful and to the point! Thanks again!",,,,,5666865010011008463,,5,
"2022 May 27, 8:59AM",Joshua Fimmano,Product Research,4,5,5,5,,,,,,,5666864834815741339,,4.75,
"2022 May 27, 5:36PM",Joshua Fimmano,Website Optimisation,5,5,5,5,,,,,,,5666862698559350884,,5,
"2022 May 30, 11:38AM",Michael Bondarenko,"Website Optimisation
Ad Angle Review",5,5,5,5,,,,,,,5666822429914379322,,5,
"2022 May 31, 2:06PM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5666681693173964726,,5,
"2022 May 31, 4:32PM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5666654450529039565,,5,
"2022 May 31, 6:40PM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5666630727466161505,,5,
"2022 June 1, 12:34PM",Michael Bondarenko,Product Research,5,5,5,5,,,,,,,5666513872811542604,,5,
"2022 June 1, 6:52PM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5666496584125229036,,5,
"2022 June 2, 12:34PM",Joshua Fimmano,Product Research,5,5,5,5,N/A,"Coaching call was with Selena (does not give an option to select her name), very pleased with how the call went, very friendly and helpful!",,,,,5666232844127276573,,5,
"2022 June 3, 11:24AM",Joshua Fimmano,Ad Account Review,5,5,5,5,,,,,,,5666092769618414920,,5,
"2022 June 3, 1:01PM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5666090560026964529,,5,
"2022 June 7, 11:12AM",Joshua Fimmano,Ad Account Review,5,5,5,5,,,,,,,5666060188018146919,,5,
"2022 June 7, 1:01PM",Joshua Fimmano,Ad Account Review,5,5,5,5,,,,,,,5665829495718690544,,5,
"2022 June 7, 6:06PM",Joshua Fimmano,"Website Optimisation
Ad Account Review",5,5,5,5,,,,,,,5665800078811271201,,5,
"2022 June 7, 8:11PM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5665786501113452723,,5,
"2022 June 8, 10:17AM",Joshua Fimmano,"Website Optimisation
Ad Account Review",5,5,5,5,,,,,,,5665229577126068276,,5,
"2022 June 9, 3:42PM",Joshua Fimmano,Ad Account Review,5,5,5,5,"It was with SELENA. Not JOSH!!!!!
she was great. Well informed. 
Great advice.","SELENA. 
You need to add a tab for her feedback. 
Just Josh and Michael. 
She was fantastic as a new coach.",,,,,5665229320319429679,,5,
"2022 June 9, 4:06PM",Joshua Fimmano,"Website Optimisation
Ad Angle Review
Ad Account Review",5,5,5,5,"Selena was my mentor today. She is awesome and is doing an amazing job supporting us with care and professionalism. She also creates an environment to make us feel safe and that we're not alone at all. This is my second coach session and she is just getting better. Thank you, Selena.",,,,,,5665213425312264220,,5,
"2022 June 9, 4:38PM",Joshua Fimmano,Ad Account Review,5,5,5,5,,,,,,,5665199535011571898,,5,
"2022 June 10, 12:34PM",Joshua Fimmano,Website Optimisation,5,5,5,5,,,,,,,5665181690558212717,,5,
"2022 June 10, 10:14PM",Selena Markantonakis,Product Research,5,5,5,5,,,,,,,5665065099342009892,,5,
"2022 June 12, 1:55PM",Joshua Fimmano,Product Research,5,5,5,5,N/a,N/a,,,,,5664898513427094718,,5,
"2022 June 12, 7:01PM",Selena Markantonakis,"Website Optimisation
Ad Account Review",5,5,5,5,,,,,,,5664290939807202509,,5,
"2022 June 13, 10:01AM",Selena Markantonakis,Ad Angle Review,5,5,5,5,No,no,,,,,5664111101219592856,,5,
"2022 June 13, 11:18AM",Selena Markantonakis,Website Optimisation,5,5,5,5,Nil,Nil,,,,,5664075195345030905,,5,
"2022 June 14, 3:26PM",Selena Markantonakis,Product Research,5,5,5,5,,,,,,,5662649397027199264,,5,
"2022 June 14, 3:31PM",Joshua Fimmano,Website Optimisation,5,5,5,5,no,no,,,,,5662614743012624759,,5,
"2022 June 14, 7:03PM",Selena Markantonakis,Website Optimisation,5,5,5,5,,,,,,,5662571694862692755,,5,
"2022 June 15, 2:32PM",Selena Markantonakis,Website Optimisation,5,5,5,5,"Selena was great, thank you so much!! :)",,,,,,5662388237416236789,,5,
"2022 June 15, 5:59PM",Selena Markantonakis,Product Research,2,3,3,2,,,,,,,5662138421219414352,,2.5,
"2022 June 15, 6:17PM",Selena Markantonakis,Website Optimisation,5,5,5,5,N/A,"No, she already does an amazing job!",,,,,5661668528426586708,,5,
"2022 June 16, 4:13PM",Selena Markantonakis,Product Research,5,5,5,5,Excellent work from Selena,,,,,,5661591758017457227,,5,
"2022 June 16, 5:50PM",Joshua Fimmano,"Ad Angle Review
Ad Account Review",5,5,5,5,,,,,,,5661576376424373340,,5,
"2022 June 16, 6:25PM",Selena Markantonakis,Website Optimisation,5,5,5,5,,,,,,,5661526829117510833,,5,
"2022 June 16, 7:48PM",Joshua Fimmano,Ad Account Review,5,5,5,5,Always a pleasure talking to Josh!,"nope, always helpful and positive :) thanks guys!",,,,,5661445452527093878,,5,
"2022 June 18, 7:26PM",Joshua Fimmano,Website Optimisation,5,5,5,5,Josh is great thanks heaps!,,,,,,5660657432527909665,,5,
"2022 June 18, 10:18PM",Joshua Fimmano,"Ad Angle Review
Ad Account Review",5,5,5,5,,,,,,,5660622940029525369,,5,
"2022 June 19, 9:33AM",Selena Markantonakis,Ad Account Review,5,5,5,5,,,,,,,5660498480556230777,,5,
"2022 June 19, 10:42AM",Selena Markantonakis,Ad Account Review,5,5,5,5,,,,,,,5660394024308247680,,5,
"2022 June 19, 2:08PM",Selena Markantonakis,Ad Account Review,5,5,5,5,,,,,,,5659950757322368129,,5,
"2022 June 19, 3:36PM",Selena Markantonakis,Product Research,5,5,5,5,"Pretty clear and good guidance, absolutely happy to be a part here and learning each step.
Thank you",,,,,,5659887450152169774,,5,
"2022 June 19, 3:40PM",Joshua Fimmano,Website Optimisation,5,5,5,5,satisfied,satisfied,,,,,5659866664611113287,,5,
"2022 June 19, 3:40PM",Selena Markantonakis,"Website Optimisation
Ad Angle Review",5,5,5,5,very well said,very well said,,,,,5659806928655992871,,5,
"2022 June 20, 11:31AM",Selena Markantonakis,Website Optimisation,5,5,5,5,Selena is amazing and helping a lot during the call. Thank you,,,,,,5659139102464970370,,5,
"2022 June 21, 1:23PM",Joshua Fimmano,Ad Account Review,5,5,5,5,,,,,,,5659085119805104436,,5,
"2022 June 21, 6:12PM",Selena Markantonakis,Ad Account Review,5,5,5,5,,,,,,,5658924646694866644,,5,
"2022 June 21, 8:19PM",Selena Markantonakis,Product Research,5,5,5,5,,,,,,,5658853498015476319,,5,
"2022 June 23, 9:57AM",Selena Markantonakis,Product Research,5,5,5,5,,,,,,,5658223378932657192,,5,
"2022 June 23, 2:01PM",Selena Markantonakis,Website Optimisation,5,5,5,5,,,,,,,5658195531021176624,,5,
"2022 June 23, 2:38PM",Selena Markantonakis,Ad Angle Review,5,5,5,5,,,,,,,5658154211429507825,,5,
"2022 June 23, 4:32PM",Joshua Fimmano,Product Research,1,1,1,1,He didn't even attend the call,Next time please show up,,,,,5658004215212566581,,1,
"2022 June 24, 9:39AM",Joshua Fimmano,Product Research,4,5,5,5,,,,,,,5657362859119276413,,4.75,
"2022 June 24, 10:45AM",Joshua Fimmano,Product Research,5,5,5,5,"Overall good chat with Josh. 
Gave me the guidance and direction that i needed to progress to the next step.",Cant fault any.,,,,,5657289275357610629,,5,
"2022 June 24, 8:58PM",Joshua Fimmano,"Website Optimisation
Ad Account Review",5,5,5,5,"He helped me a lot with some questions I had. 
Thank you",,,,,,5657186244618069184,,5,
"2022 June 25, 11:35AM",Joshua Fimmano,Product Research,1,1,1,1,I waited for the call and there was no one to attend it.,I would like to talk to them and discuss about the product spread sheet.,,,,,5657176692327196171,,1,
"2022 June 25, 12:30PM",Joshua Fimmano,Product Research,5,5,5,5,NA,NA,,,,,5657171512816439332,,5,
"2022 June 25, 1:11PM",Joshua Fimmano,Product Research,5,5,5,5,"It would be great to teach the thought process in a more structured way while selecting anything. Though my questions regarding thought process were answered, however i feel because it a not prepared answer and there could have been more take aways for that particular part. Overall it was great to interact with Josh.","Everything thing is great, i felt Josh is very friendly and Kicked-off call in the expected way and explained everything very well.",,,,,5656655635422972012,,5,
"2022 June 27, 11:04AM",Selena Markantonakis,Ad Angle Review,5,5,5,5,,,,,,,5656632998573280277,,5,
"2022 June 27, 1:36PM",Joshua Fimmano,Ad Angle Review,5,5,5,5,,,,,,,5655639715553026479,,5,
"2022 June 27, 4:38PM",Selena Markantonakis,Product Research,5,4,5,5,,,,,,,5655449264413098812,,4.75,
"2022 June 28, 11:20AM",Joshua Fimmano,Website Optimisation,5,5,5,5,Satisfied,Satisfied as always,,,,,5655336921713200216,,5,
"2022 June 28, 11:59AM",Selena Markantonakis,Product Research,5,5,5,5,,,,,,,5654725182012254929,,5,
"2022 June 28, 12:59PM",Joshua Fimmano,Ad Account Review,5,5,5,5,,,,,,,5654681099224466973,,5,
"2022 June 28, 1:11PM",Selena Markantonakis,"Ad Angle Review
Ad Account Review",5,5,5,5,,,,,,,5654678075858076986,,5,
"2022 June 28, 3:18PM",Selena Markantonakis,"Website Optimisation
Ad Angle Review",5,5,5,5,,,,,,,5654650171413395582,,5,
"2022 June 28, 4:02PM",Joshua Fimmano,Product Research,5,5,5,5,,,,,,,5654623766117804405,,5,
"2022 June 28, 5:50PM",Selena Markantonakis,Product Research,5,5,5,5,"The process is very quick, and Selena was very good. I did feel as though it was too quick. I'm sure that you guys obviously have done this many times and know what you are talking about but I was amazed that Selena could pick some items so quickly.","No, Selena was very good and had a very good attitude. She helped out with what I needed and now hopefully it will lead to leaving my 9-5",,,,,5654468663812158242,,5,
"2022 June 28, 7:50PM",Selena Markantonakis,Product Research,5,5,5,5,super helpful and super nice person to work with,"no improvements all coaching is super helpful i haven't met Michael yet 
Tommy king, Josh, Selena super helpful 100% recommend",,,,,5653952618819683357,,5,
"2022 June 29, 12:32PM",Selena Markantonakis,Ad Account Review,5,5,5,5,,,,,,,5653755998829885042,,5,
"2022 June 29, 3:03PM",Selena Markantonakis,Website Optimisation,5,5,5,5,,,,,,,5653188976219470742,,5,
"2022 June 29, 4:32PM",Selena Markantonakis,Website Optimisation,5,5,5,5,,,,,,,5653170274217101097,,5,
"2022 June 29, 5:37PM",Selena Markantonakis,Ad Account Review,5,5,5,5,,,,,,,5652764221976982655,,5,
"2022 June 30, 4:49AM",Selena Markantonakis,Website Optimisation,5,5,5,5,Selena is just AWESOME!,,,,,,5652108923221907903,,5,
"2022 June 30, 5:30PM",Joshua Fimmano,Ad Angle Review,3,3,3,3,"Coach didn't turn up, might have been a mix-up with the dates! Will book another appointment and try again tomorrow",,,,,,5652057404224031948,,3,
"2022 July 1, 7:09AM",Joshua Fimmano,Product Research,5,5,5,5,"Excellent discussion, very clear, very concise",N/A,,,,,5652044398014140678,,5,
"2022 July 2, 3:01PM",Joshua Fimmano,Product Research,4,4,5,5,,,,,,,5652010059548757904,,4.5,
"2022 July 4, 11:11AM",Joshua Fimmano,Product Research,5,5,5,5,"yes most definitely! I had a setback where I lost all my files, I acknowledge my wrong and accepted it and moved on. I had to go back and complete product research but I now have 100% knowledge on product research and my avatar worksheet.",,,,,,5651223286213218199,,5,
"2022 July 4, 9:48PM",Selena Markantonakis,"Website Optimisation
Ad Angle Review
Ad Account Review",5,5,5,5,Selena always gives phenomenal insight and is clearly a wealth of knowledge,"Nope, absolute weapom",,,,,5651136376111035733,,5,
"2022 July 5, 11:47AM",Selena Markantonakis,Product Research,5,5,5,5,,,,,,,5651067045817464372,,5,
"2022 July 6, 10:06AM",Selena Markantonakis,Product Research,5,5,5,5,She gave me good ideas to work with and good advice as well.,Nope,,,,,5650400065213845289,,5,
"2022 July 6, 10:20AM",Selena Markantonakis,Ad Account Review,5,5,5,5,,,,,,,5650335688026636953,,5,
"2022 July 6, 12:53PM",Selena Markantonakis,Website Optimisation,5,5,5,5,,,,,,,5650302255212855759,,5,
"2022 July 6, 2:48PM",Selena Markantonakis,Website Optimisation,4,4,4,4,,,,,,,5650095039719589200,,4,
"2022 July 6, 3:08PM",Selena Markantonakis,Product Research,5,5,5,5,"No recommendations at the moment. But, I just wanted to say my call with Selena was really good. Selena was very helpful and if there were 10 stars I would give her 11 ?",,,,,,5649796331118538150,,5,
